image,title,price,description,features,sku,spec_2,spec_3,spec_4,Weight,category,sub-category,sub-su-category,user-agent
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/62/834867/1.jpg?3353,Spice Supreme Garlic Powder X 2, 2 500,garlic powder is a herb and root power use for cooking it is nutritious and boost the immune and body organs and purify the blood and makes the food spicy tasty sumptuous and add nice aroma to your food. garlic powder is dehydrated garlic that is ground and used in powder form.a lot of people find garlic powder easy and convenient to use. it is also more subtle and palatable than minced or chopped cloves.garlic powder is versatile. people use it for seasoning stews soups salad dressings and pizzas. it is also incorporated in the butter dipping sauce sour cream dressing barbecue sauce and other sauces. garlic is popular as a flavorful culinary ingredient. it is used for its strong distinctive taste. it is also well recognized for its therapeutic and medicinal properties. it is believed to have enzymes sulfur compounds fiber minerals vitamins and other nutrients that help promote health.,For cookingNutrition Vitamins Immune booster Natural supplements Herbs and root,SKU: SP744FF11EROZNAFAMZ,Main Material: Natural spice,Product Line: adorable blossom stores,Weight (kg): 0.1,Shop Type: Jumia Mall/Food,Grocery,"Herbs, Spices & Seasonings",Single Herbs & Spices,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5)AppleWebKit /603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8"
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/29/018177/1.jpg?1203,Trs Cumin Seeds 100g X2, 1 700,health benefits of cumincumin is known for the benefits it offers more than its taste or flavor as it helps in losing weight improving digestion and immunity and treating skin disorders boils piles insomnia and respiratory disorders. let us understand each benefit in detail.prevents diabetesalthough research is still ongoing early studies report that cumin among a number of other spices can have a powerful effect in preventing diabetes by reducing the chances of hypoglycemia. the animals that were tested showed a sharp decline in hypoglycemia when fed cumin seeds in their diet. they also showed a decrease in glucosuria which is a condition where the urine contains too much glucose also resulting in hypoglycemia and diabetes. human testing is ongoing but early reports show that cumin can be a very powerful tool in the battle against diabetes.health benefits of cumincumin is known for the benefits it offers more than its taste or flavor as it helps in losing weight improving digestion and immunity and treating skin disorders boils piles insomnia and respiratory disorders. let us understand each benefit in detail.prevents diabetesalthough research is still ongoing early studies report that cumin among a number of other spices can have a powerful effect in preventing diabetes by reducing the chances of hypoglycemia. the animals that were tested showed a sharp decline in hypoglycemia when fed cumin seeds in their diet. they also showed a decrease in glucosuria which is a condition where the urine contains too much glucose also resulting in hypoglycemia and diabetes. human testing is ongoing but early reports show that cumin can be a very powerful tool in the battle against diabetes,it contains anti aging propertyit can be use to treat skin disorderit can be use for itchy skin it glows the skinFor health It helps in weight lostLower blood sugar And so much more,SKU: TR737FF0H9YKHNAFAMZ,Main Material: Cumin Seeds,Production Country: United Kingdom,Product Line: Hawler,Weight (kg): 0.1,Grocery,"Herbs, Spices & Seasonings",Single Herbs & Spices,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5)AppleWebKit /603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8"
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/16/857004/1.jpg?0150,Barbie Backpack With Trolley Red Blue, 4 500,the unisex multipurpose backpack is one of best selling backpack with high quality guarantee. it is made of polyester which makes it water resistant and suitable for any weather and occasion.,Premium QualityMoney For ValueAttractiveTrendyClassy,SKU: GE779AA0A1AY4NAFAMZ,Color: Red/Blue,Main Material: Synthetic,Product Line: tozeey shop,Weight (kg): 0.3,Fashion,Luggage & Travel Gear,Backpacks,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit /537.36 KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/47/350554/1.jpg?4868,PJ MASK Graphic Backpack School Bag Blue, 6 412,pj mask graphic backpack school bag... kids that love pj mask will love this character bag and school will be a lot more fun with this adorable classic bag.,Light weight and spaciousBold image of PJ mask characterCarry handle at the topOne main zip and front compartment2 padded adjusted shoulder pads,SKU: FA203AA0S6VX6NAFAMZ,Color: Blue,Model: N/A,Product Line: Exclusiveksa International Services,Weight (kg): 0.2,Fashion,Luggage & Travel Gear,Backpacks,Mozilla/5.0 (Windows NT 5.1; rv:7.0.1) Gecko/20100101 Firefox/7.0.1
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/52/335573/1.jpg?5769,Fancy Ladies 3 N 1 Leather Bag With Crossbody And Wallet, 8 000,this is the new cool 3 in 1 fashion leather bag you dont want to miss. our new 3 in 1 fashion leather bag is a multi bag that serves all purpose. it contains a backpack and a cross sling bag. 3 in 1 fashion leather bag dont miss it, 3 in 1 leather bag Cross sling bagBack pack with studs Wallet teddy bear featuresAttractive style Smart fit,SKU: FA203AC0V5QDXNAFAMZ,Color: grey,Main Material: Leather,Product Line: Isbieex,Weight (kg): 0.7,Fashion,Luggage & Travel Gear,Backpacks,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)AppleWebKit /537.36 (KHTML, like Gecko) Chrome/51.0.2704.79Safari/537.36 Edge/14.14393"
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/69/700596/1.jpg?6898,15.6 Inches Power Confidence Combat Backpack Without Padded Foam, 11 500,the power 15.6 backpack has all the space and organization features to meet your urban gear needs with a large main compartment.designed with your high expectations in mind. from the train to the office from the field to the classroom the 15.6 backpack brings different aspects of your life together with hardy protection distinct styleideal for work school and weekend outings. unique modern designs padded comfort and easy access to your essentials, Waterproof material Colour Brown Padded back panel Sturdy construction Built with Padded Foam,SKU: FA203EL15HXBONAFAMZ,Color: N/A,Main Material: N/A,Weight (kg): 2,Shop Type: Jumia Mall,Fashion,Luggage & Travel Gear,Laptop Bags,Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Thunderbird/45.3.0
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/16/415026/1.jpg?8833,RAINBOW UMBRELLA, 3 500,it s raining season again... get yourself this handy umbrella to beat the rain... very affordable and mobile.... easily movable.. it s raining season again... get yourself this handy umbrella to beat the rain... very affordable and mobile.... easily movable.it s raining season again... get yourself this handy umbrella to beat the rain... very affordable and mobile.... easily movable.. it s raining season again... get yourself this handy umbrella to beat the rain... very affordable and mobile.... easily movableit s raining season again... get yourself this handy umbrella to beat the rain... very affordable and mobile.... easily movable.. it s raining season again... get yourself this handy umbrella to beat the rain... very affordable and mobile.... easily movableit s raining season again... get yourself this handy umbrella to beat the rain... very affordable and mobile.... easily movable.. it s raining season again... get yourself this handy umbrella to beat the rain... very affordable and mobile.... easily movableit s raining season again... get yourself this handy umbrella to beat the rain... very affordable and mobile.... easily movable.. it s raining season again... get yourself this handy umbrella to beat the rain... very affordable and mobile.... easily movable. ,HandyMobileMuti colour,SKU: HA194LU09RTWYNAFAMZ,Color: Multi color,Main Material: N/A,Product Line: HAPPYHour General store,Weight (kg): 0.15,Fashion,Luggage & Travel Gear,Umbrellas,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)AppleWebKit /537.36 (KHTML, like Gecko) Chrome/51.0.2704.79Safari/537.36 Edge/14.14393"
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/99/995476/1.jpg?6738,2 Travel Luggage Suitcase Bag Packing Secure Safe Strap B, 7 689,easy to usehigh quality and inexpensiveexquisite workmanshipdurable in usewell madeenjoy great popularity among the peoplesave your moneybest choice and best discountscustomer care is our top priorityoffer is subject to availabilitybig saleeasy to usehigh quality and inexpensiveexquisite workmanshipdurable in usewell madeenjoy great popularity among the peoplesave your moneybest choice and best discountscustomer care is our top priorityoffer is subject to availabilitybig saleeasy to usehigh quality and inexpensiveexquisite workmanshipdurable in usewell madeenjoy great popularity among the peoplesave your moneybest choice and best discountscustomer care is our top priorityoffer is subject to availabilitybig saleeasy to usehigh quality and inexpensiveexquisite workmanshipdurable in usewell madeenjoy great popularity among the peoplesave your moneybest choice and best discountscustomer care is our top priorityoffer is subject to availabilitybig saleeasy to usehigh quality and inexpensiveexquisite workmanshipdurable in usewell madeenjoy great popularity among the peoplesave your moneybest choice and best discountscustomer care is our top priorityoffer is subject to availabilitybig saleeasy to usehigh quality and inexpensiveexquisite workmanshipdurable in usewell madeenjoy great popularity among the peoplesave your moneybest choice and best discountscustomer care is our top priorityoffer is subject to availabilitybig saleeasy to usehigh quality and inexpensiveexquisite workmanshipdurable in usewell madeenjoy great popularity among the peoplesave your moneybest choice and best discountscustomer care is our top priorityoffer is subject to availabilitybig sale,Easy to useHigh quality and InexpensiveExquisite WorkmanshipDurable in useWell MadeEnjoy Great Popularity Among the PeopleSave your MoneyBest Choice and best discountsCustomer Care is Our Top PriorityOffer is Subject to AvailabilityBig Sale,SKU: FA203LU1NJ904NAFAMZ,Care Label: 1,Certifications: Organic,Size (L x W x H cm): 16*5*3,Weight (kg): 0.22,Fashion,Luggage & Travel Gear,Travel Accessories,Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Thunderbird/45.3.0
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/38/885734/1.jpg?5062,Swiss Polo Travelling Bag 3 Sets, 55 000,main material durable polyester fabriccolour black interior tie down straps two major compartments fully lined.exterior push button locking handle system top carry handle two front zipped,traveling luagagequalityeasy to carrydurableaffordable,SKU: SW080BL0N5GFANAFAMZ,Product Line: Accessories Empire,Weight (kg): 2,Product Line: Accessories Empire,Weight (kg): 2,Fashion,Luggage & Travel Gear,Luggage Sets,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)AppleWebKit /537.36 (KHTML, like Gecko) Chrome/51.0.2704.79Safari/537.36 Edge/14.14393"
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/20/335573/1.jpg?5771,Fancy Ladies 3 N 1 Leather Bag With Crossbody And Wallet, 8 600,this is the new cool 3 in 1 fashion leather bag you dont want to miss. our new 3 in 1 fashion leather bag is a multi bag that serves all purpose. it contains a backpack and a cross sling bag. 3 in 1 fashion leather bag dont miss it, 3 in 1 leather bag Cross sling bagBack pack with studs Wallet teddy bear featuresAttractive style Smart fit,SKU: FA203AC0C3V11NAFAMZ,Color: black,Main Material: Leather,Product Line: Isbieex,Weight (kg): 0.7,Fashion,Luggage & Travel Gear,Backpacks,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit /537.36 KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
